"x","y","label","contourID"
915.84132882,4715.4508269,"10",1
747.59493138,4736.6138952,"10",1
579.348533742,4884.75537792,"10",1
621.410133168,5032.89685998,"10",1
642.440932848,5329.1798241,"10",1
873.77972946,5413.83209928,"10",1
1126.14932562,5477.32130616,"10",1
1378.51892178,5583.1366503,"10",1
1588.82691924,5752.44120132,"10",1
1736.042517,5985.23495922,"10",1
1672.95011796,6281.51792334,"10",1
1588.82691924,6535.47474954,"10",1
1546.76531988,6747.1054398,"10",1
1567.79611956,6979.8991944,"10",1
1778.10411636,7128.0406758,"10",1
2030.47371252,7233.8560206,"10",1
2198.72010996,7360.834437,"10",1
2387.99730708,7530.1389834,"10",1
2598.30530388,7572.4651266,"10",1
2892.73650006,7487.8128468,"10",1
2955.8288991,7339.6713654,"10",1
3018.92129814,7128.0406758,"10",1
2976.85969878,6958.7361294,"10",1
3039.95209782,6831.757713,"10",1
3208.19849526,6683.6162316,"10",1
3397.47569238,6598.96395642,"10",1
3649.84528854,6641.290095,"10",1
3839.12248632,6789.4315764,"10",1
4007.36888376,6916.4099862,"10",1
4217.67688056,7043.3884026,"10",1
4470.04647672,7022.225331,"10",1
4722.41607288,6916.4099862,"10",1
4869.63167064,6768.2685048,"10",1
5248.18606554,6450.82247436,"10",1
5037.87806874,6641.290095,"10",1
5395.4016633,6323.84406126,"10",1
5626.74045978,6175.70257854,"10",1
5942.20245498,6112.21337232,"10",1
6215.60285148,6048.72416544,"10",1
6573.12644604,6048.72416544,"10",1
6888.5884386,6006.39802818,"10",1
7056.83484,5921.74575234,"10",1
7098.8964354,5646.62585718,"10",1
7140.9580374,5392.66903032,"10",1
7204.0504338,5202.201411,"10",1
7372.2968352,5096.3860662,"10",1
7519.512429,5032.89685998,"10",1
7771.8820278,5117.54913516,"10",1
7877.0360262,5286.85368618,"10",1
7877.0360262,5159.87527308,"10",1
7708.7896314,5032.89685998,"10",1
8045.2824276,5202.201411,"10",1
8129.405625,5159.87527308,"10",1
8318.6828208,5286.85368618,"10",1
8465.8984212,5519.64744408,"10",1
8634.144816,5646.62585718,"10",1
8802.3912108,5773.60427028,"10",1
8949.6068112,5773.60427028,"10",1
9096.8224116,5604.29971926,"10",1
9349.1920038,5540.81051238,"10",1
9201.97641,5519.64744408,"10",1
9496.4076042,5646.62585718,"10",1
9664.653999,5773.60427028,"10",1
